,dataset,method,accuracy,accuracy,auc_roc,auc_roc,f1_score,f1_score
,,,mean,std,mean,std,mean,std
50,Plrx.mat,ldam,0.6923423423423423,0.022031688660089716,0.43867132867132874,0.11922297618237179,0.5927835136930855,0.02186127090742787
51,Plrx.mat,mlp_focal,0.46261261261261255,0.15198614732325888,0.4289510489510489,0.07918727473789389,0.41347760799666416,0.15833955858633333
52,Sonar.mat,balanced_softmax,0.8508710801393728,0.03203817542489507,0.9328978572914499,0.031314578242531775,0.8503357964483615,0.03219245752894163
53,Sonar.mat,deepsmote,0.8126596980255517,0.04189966902772619,0.9113022675265239,0.028717702508397974,0.8117054686952899,0.0414895197438312
54,Sonar.mat,ldam,0.8508710801393728,0.020774038772850348,0.9302028292074059,0.02738896325905025,0.8501436536287962,0.020639618164451444
55,Sonar.mat,mlp_focal,0.870150987224158,0.021625879032637615,0.940014562096942,0.03267927625213031,0.8698144166852002,0.021578144618636004
56,Statlog_Heart.mat,balanced_softmax,0.825925925925926,0.042632831234153096,0.8991666666666667,0.03368735612901317,0.8260969850977359,0.04255784005536249
57,Statlog_Heart.mat,deepsmote,0.8185185185185185,0.06334307917217435,0.8983333333333334,0.04624603753462903,0.8182330006704502,0.06354510908805926
58,Statlog_Heart.mat,ldam,0.8074074074074075,0.05943261679956004,0.8941666666666667,0.034949257750114676,0.8073591325737685,0.05980758799318175
59,Statlog_Heart.mat,mlp_focal,0.8148148148148149,0.05071505162084871,0.8922222222222222,0.033543895141062055,0.8146372867756515,0.05126888972921208
60,Votes.mat,balanced_softmax,0.6114942528735632,0.06049516030777368,0.6526248425804474,0.07877369089697145,0.6167163719553332,0.059302538849968126
61,Votes.mat,deepsmote,0.6,0.06211152223497145,0.6271852200635035,0.07197150486679599,0.6054464573867018,0.06094645506637819
62,Votes.mat,ldam,0.632183908045977,0.04525291881615985,0.645882116266874,0.06978485167177546,0.6231635266355522,0.04142377377727438
63,Votes.mat,mlp_focal,0.5563218390804597,0.02885034574255433,0.6305160994580159,0.07023941776359832,0.5528444968756915,0.027689748540056326
64,WDBC.mat,balanced_softmax,0.9806862288464524,0.007311317622394046,0.99662795896828,0.0059355363179076194,0.9806987919104626,0.0072816363069005095
65,WDBC.mat,deepsmote,0.9648657040832169,0.006120686747195614,0.9922223045421539,0.00627262275592423,0.964825141290766,0.00589070001536182
